gmDate,gmTime,offLNm,offFNm,teamAbbr,teamDiv,teamLoc,teamRslt,teamPTS,teamTO,teamSTL,teamBLK,teamPF,teamFGA,teamFGM,teamFG%,teamFTA,teamFTM,teamFT%,teamTRB,teamSTL%,teamBLK%,teamBLKR,timestamp
2012-10-31,22:30,Zielinski,Gary,MEM,Southwest,Away,Loss,92,21,14,4,25,86,33,0.3837,30,24,0.8,44,14.1623,4.0464,5.5556,1351641600.0
2012-10-31,22:30,Foster,Scott,LAC,Pacific,Home,Win,101,22,12,9,27,74,38,0.5135,29,20,0.6897,39,12.1391,9.1044,15.2542,1351641600.0
2012-10-31,22:30,Wood,Leon,POR,Northwest,Home,Win,116,12,10,5,20,83,42,0.506,28,23,0.8214,30,10.6088,5.3044,7.9365,1351641600.0
2012-11-01,21:30,Collins,Derrick,SA,Southwest,Home,Win,86,13,9,4,21,79,35,0.44299999999999995,16,11,0.6875,39,9.8806,4.3914,6.6667,1351728000.0
2012-11-01,21:30,Collins,Derrick,OKC,Northwest,Away,Loss,84,18,6,5,20,77,29,0.3766,23,19,0.8261,48,6.5871,5.4892,8.3333,1351728000.0
2012-11-02,19:00,Orr,J.T.,CHA,Southeast,Home,Win,90,11,10,9,23,85,31,0.3647,24,21,0.875,41,10.5418,9.4876,13.6364,1351814400.0
2012-11-02,19:00,Orr,J.T.,IND,Central,Away,Loss,89,19,5,5,16,83,33,0.3976,27,16,0.5926,52,5.2709,5.2709,8.7719,1351814400.0
2012-11-02,19:00,Bavetta,Dick,ORL,Southeast,Home,Win,102,13,8,8,24,86,42,0.4884,18,13,0.7222,46,8.6171,8.6171,11.2676,1351814400.0
2012-11-02,19:00,Lane,Karl,DEN,Northwest,Away,Loss,89,14,5,5,17,84,32,0.381,27,18,0.6667,45,5.3857,5.3857,8.6207,1351814400.0
2012-11-02,19:30,Spooner,Bill,MIL,Central,Away,Win,99,19,12,5,17,86,40,0.4651,12,11,0.9167,46,12.5934,5.2473,7.3529,1351814400.0
2012-11-02,19:30,Jones,David,BOS,Atlantic,Home,Loss,88,18,9,4,18,74,33,0.4459,21,17,0.8095,36,9.4451,4.1978,6.6667,1351814400.0
2012-11-02,19:30,Kirkland,Courtney,CHI,Central,Away,Win,115,17,7,4,21,69,44,0.6377,30,23,0.7667,41,7.4437,4.2536,6.7797,1351814400.0
2012-11-02,19:30,Barnaky,Brent,ATL,Southeast,Home,Loss,102,13,12,4,26,85,40,0.4706,17,15,0.8824,36,12.3226,4.1075,6.3492,1351814400.0
2012-11-02,19:30,Barnaky,Brent,HOU,Southwest,Away,Win,109,21,8,2,18,90,38,0.4222,29,25,0.8621,58,8.2151,2.0538,3.3333,1351814400.0
2012-11-02,19:30,Holtkamp,Lauren,CLE,Central,Home,Loss,86,17,7,1,25,79,32,0.4051,27,14,0.5185,33,7.4437,1.0634,1.6949,1351814400.0
2012-11-02,20:00,Goble,John,OKC,Northwest,Home,Win,106,12,2,10,22,76,39,0.5132,32,23,0.7188,47,2.1024,10.512,14.9254,1351814400.0
2012-11-02,20:00,Capers,James,POR,Northwest,Away,Loss,92,12,4,0,25,89,32,0.3596,24,19,0.7917,44,4.2048,0.0,0.0,1351814400.0
2012-11-02,20:00,Blair,Curtis,MIN,Northwest,Home,Win,92,11,4,10,17,87,32,0.3678,36,26,0.7222,53,4.3217,10.8042,14.2857,1351814400.0
2012-11-02,20:00,Blair,Curtis,SAC,Pacific,Away,Loss,80,12,7,4,34,89,32,0.3596,16,13,0.8125,43,7.5629,4.3217,5.4795,1351814400.0
2012-11-02,20:00,Brown,Tony,NO,Southwest,Home,Win,88,12,7,4,16,81,37,0.4568,14,9,0.6429,42,8.203,4.6874,5.9701,1351814400.0
2012-11-02,20:00,Brown,Tony,UTA,Northwest,Away,Loss,86,15,7,6,21,85,35,0.4118,12,6,0.5,44,8.203,7.0312,10.5263,1351814400.0
2012-11-02,20:00,Stafford,Derrick,NY,Atlantic,Home,Win,104,14,10,0,22,84,36,0.4286,15,13,0.8667,41,11.1818,0.0,0.0,1351814400.0
2012-11-02,20:00,Stafford,Derrick,MIA,Southeast,Away,Loss,84,21,4,5,18,71,33,0.4648,13,11,0.8462,41,4.4727,5.5909,9.8039,1351814400.0
2012-11-02,22:00,Foster,Scott,DET,Central,Away,Loss,89,10,2,5,19,90,37,0.4111,19,11,0.5789,39,2.1258,5.3145,6.4935,1351814400.0
2012-11-02,22:00,Dalen,Eric,PHO,Pacific,Home,Win,92,14,6,5,20,92,40,0.4348,14,10,0.7143,52,6.3774,5.3145,6.1728,1351814400.0
2012-11-02,22:30,Wood,Leon,GS,Pacific,Home,Loss,94,19,5,5,24,80,36,0.45,17,12,0.7059,36,5.303,5.303,8.3333,1351814400.0
2012-11-02,22:30,Poole,Olandis,MEM,Southwest,Away,Win,104,14,9,4,22,77,35,0.4545,34,28,0.8235,40,9.5454,4.2424,6.25,1351814400.0
2012-11-02,22:30,Cutler,Kevin,LAL,Pacific,Home,Loss,95,20,7,7,23,68,34,0.5,28,20,0.7143,38,7.4607,7.4607,13.4615,1351814400.0
2012-11-02,22:30,Cutler,Kevin,LAC,Pacific,Away,Win,105,12,12,4,26,84,38,0.4524,27,21,0.7778,37,12.7898,4.2633,6.4516,1351814400.0
2012-11-03,19:00,Crawford,Joe,BOS,Atlantic,Away,Win,89,9,8,4,12,84,36,0.4286,13,9,0.6923,35,8.7911,4.3956,6.3492,1351900800.0
2012-11-03,19:00,Crawford,Joe,WAS,Southeast,Home,Loss,86,15,7,4,14,78,34,0.4359,17,12,0.7059,46,7.6922,4.3956,6.8966,1351900800.0
2012-11-03,19:00,Kirkland,Courtney,SAC,Pacific,Away,Loss,98,16,15,13,26,102,37,0.3627,20,16,0.8,47,13.8937,12.0412,16.25,1351900800.0
2012-11-03,19:00,Kirkland,Courtney,IND,Central,Home,Win,106,24,10,14,19,99,39,0.3939,27,24,0.8889,67,9.2625,12.9675,18.1818,1351900800.0
2012-11-03,19:30,Boland,Matt,BKN,Atlantic,Home,Win,107,17,6,5,19,81,37,0.4568,37,27,0.7297,41,6.1361,5.1134,7.5758,1351900800.0
2012-11-03,19:30,Richardson,Leroy,DEN,Northwest,Away,Loss,116,15,5,3,21,95,49,0.5158,20,13,0.65,47,5.239,3.1434,4.0541,1351900800.0
2012-11-03,19:30,Richardson,Leroy,MIA,Southeast,Home,Win,119,8,9,8,16,83,43,0.5181,27,23,0.8519,32,9.4302,8.3824,13.7931,1351900800.0
2012-11-03,19:30,Boland,Matt,TOR,Atlantic,Away,Loss,100,14,8,5,31,82,37,0.4512,25,19,0.76,37,8.1814,5.1134,7.8125,1351900800.0
2012-11-03,20:00,Ayotte,Mark,HOU,Southwest,Home,Loss,85,18,12,4,16,96,34,0.3542,18,12,0.6667,56,11.6815,3.8938,5.7143,1351900800.0
2012-11-03,20:00,Ayotte,Mark,POR,Northwest,Away,Win,95,16,11,8,18,93,39,0.4194,12,7,0.5833,53,10.7081,7.7877,11.5942,1351900800.0
